Minute,Player,Club,Outcome,Distance,SCA 1,SCA 2
7,Marquinhos,Paris S-G,Off Target,4,Vitinha (Pass Live),Vitinha (Pass Dead)
10,Désiré Doué,Paris S-G,Saved,27,Nuno Mendes (Pass Live),Vitinha (Pass Live)
11,Ousmane Dembélé,Paris S-G,Saved,19,Achraf Hakimi (Pass Live),Vitinha (Pass Live)
12,Achraf Hakimi,Paris S-G,Goal,8,Désiré Doué (Pass Live),Vitinha (Pass Live)
18,Khvicha Kvaratskhelia,Paris S-G,Off Target,17,Nuno Mendes (Pass Live),Willian Pacho (Pass Live)
20,Désiré Doué,Paris S-G,Goal,16,Ousmane Dembélé (Pass Live),Khvicha Kvaratskhelia (Pass Live)
23,Francesco Acerbi,Inter,Off Target,9,Hakan Çalhanoğlu (Pass Dead),
27,Fabián Ruiz Peña,Paris S-G,Saved,25,Achraf Hakimi (Pass Live),Ousmane Dembélé (Pass Live)
34,Ousmane Dembélé,Paris S-G,Blocked,18,Vitinha (Pass Live),Ousmane Dembélé (Pass Live)
34,Marquinhos,Paris S-G,Off Target,12,Nuno Mendes (Pass Dead),Ousmane Dembélé (Shot)
37,Marcus Thuram,Inter,Off Target,7,Hakan Çalhanoğlu (Pass Dead),Nicolò Barella (Pass Live)
44,Ousmane Dembélé,Paris S-G,Off Target,3,Désiré Doué (Pass Live),Fabián Ruiz Peña (Pass Live)
45+1,Désiré Doué,Paris S-G,Off Target,28,Désiré Doué (Take-On),Nuno Mendes (Pass Live)
45+2,Khvicha Kvaratskhelia,Paris S-G,Blocked,16,Désiré Doué (Pass Live),Willian Pacho (Pass Live)
45+3,Khvicha Kvaratskhelia,Paris S-G,Off Target,9,Ousmane Dembélé (Pass Dead),Khvicha Kvaratskhelia (Shot)
46,Khvicha Kvaratskhelia,Paris S-G,Off Target,11,Fabián Ruiz Peña (Pass Live),Ousmane Dembélé (Pass Live)
50,Khvicha Kvaratskhelia,Paris S-G,Off Target,9,Khvicha Kvaratskhelia (Pass Live),Nuno Mendes (Pass Live)
52,Ousmane Dembélé,Paris S-G,Off Target,15,Fabián Ruiz Peña (Pass Live),Nuno Mendes (Pass Live)
55,Nicolò Barella,Inter,Blocked,17,Denzel Dumfries (Fouled),Hakan Çalhanoğlu (Pass Live)
56,Nicola Zalewski,Inter,Blocked,16,Nicolò Barella (Pass Live),Lautaro Martínez (Pass Live)
59,Nicolò Barella,Inter,Off Target,27,,
61,Achraf Hakimi,Paris S-G,Blocked,14,Achraf Hakimi (Pass Live),Désiré Doué (Pass Live)
63,Désiré Doué,Paris S-G,Goal,17,Vitinha (Pass Live),Ousmane Dembélé (Pass Live)
67,Carlos Augusto,Inter,Blocked,7,Lautaro Martínez (Pass Live),Hakan Çalhanoğlu (Pass Live)
70,Bradley Barcola,Paris S-G,Off Target,9,Bradley Barcola (Pass Live),Ousmane Dembélé (Pass Live)
73,Khvicha Kvaratskhelia,Paris S-G,Goal,12,Ousmane Dembélé (Pass Live),Nuno Mendes (Pass Live)
75,Marcus Thuram,Inter,Saved,14,Nicolò Barella (Pass Live),Nicolò Barella (Take-On)
81,Nicola Zalewski,Inter,Saved,31,Kristjan Asllani (Interception),
81,Bradley Barcola,Paris S-G,Off Target,8,Bradley Barcola (Take-On),
83,Bradley Barcola,Paris S-G,Off Target,16,Fabián Ruiz Peña (Pass Live),Marquinhos (Pass Live)
86,Senny Mayulu,Paris S-G,Goal,7,Bradley Barcola (Pass Live),Senny Mayulu (Pass Live)
